datetime,Symbol,Open,High,Low,Close,Volume
2026-01-11 17:30:00,BINANCE:BTCUSD,90641.04,90913.92,90641.04,90840.01,0.4681
2026-01-11 18:30:00,BINANCE:BTCUSD,90864.97,90869.04,90748.48,90761.01,0.22098
2026-01-11 19:30:00,BINANCE:BTCUSD,90763.99,91018.97,90763.99,91018.97,0.50407
2026-01-11 20:30:00,BINANCE:BTCUSD,91055.0,91055.0,90666.02,90754.99,0.59599
2026-01-11 21:30:00,BINANCE:BTCUSD,90816.12,91149.25,90808.96,90991.58,0.45551
2026-01-11 22:30:00,BINANCE:BTCUSD,91008.32,91062.0,90823.0,90916.0,0.02057
2026-01-11 23:30:00,BINANCE:BTCUSD,90823.0,90842.0,90663.71,90814.55,0.30546
2026-01-12 00:30:00,BINANCE:BTCUSD,90757.15,90823.99,90599.19,90604.61,0.45658
2026-01-12 01:30:00,BINANCE:BTCUSD,90601.0,90711.59,90340.04,90636.0,0.22821
2026-01-12 02:30:00,BINANCE:BTCUSD,90572.38,90722.04,90522.1,90708.28,0.17665
2026-01-12 03:30:00,BINANCE:BTCUSD,90586.0,90625.3,90374.99,90461.83,0.29159
2026-01-12 04:30:00,BINANCE:BTCUSD,90404.87,90879.97,90160.27,90849.64,0.18969
2026-01-12 05:30:00,BINANCE:BTCUSD,90889.27,91048.7,90682.57,90682.57,0.01799
2026-01-12 06:30:00,BINANCE:BTCUSD,91200.0,91703.45,90976.72,91298.66,0.0437
2026-01-12 07:30:00,BINANCE:BTCUSD,91377.99,92227.26,91339.63,92132.55,0.00522
2026-01-12 08:30:00,BINANCE:BTCUSD,92237.58,92376.88,91815.44,91815.44,0.02857
2026-01-12 09:30:00,BINANCE:BTCUSD,91742.04,92130.54,91742.04,92058.61,0.02178
2026-01-12 10:30:00,BINANCE:BTCUSD,92051.78,92128.26,91959.3,92007.65,0.02332
2026-01-12 11:30:00,BINANCE:BTCUSD,91994.29,92090.03,91756.37,91797.61,0.0853
2026-01-12 12:30:00,BINANCE:BTCUSD,91772.97,91854.44,91336.29,91343.21,0.01124
